step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-1.0543606196457813,0.2985173761844635,0.6429154872894287,0.24913309514522552,0.2705436646938324,0.35,3,0,0,0,0.3912721276283264,7.825442790985107,156.50885009765625,0.45784792304039,1.0,0.11561910235296297,0,0,0,0,0.11561910235296297,0.0,filtered,0.07377406186264895,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.11561910235296297,0.654429482|0.669429482|0.376197892|0.115619102|0.117619102|0.156731096,0.774429482|0.789429482|0.496197892|0.235619102|0.237619102|0.276731096,0.774429482|0.789429482|0.496197892|0.235619102|0.237619102|0.276731096,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.065314587|0.0255129624|0.0255129624|-0.0103384943,-0.10702513|0|-0.120111441|-0.120145506|-0.120145506|-0.105173193,2.5106928|2.67771793|1.44999471|0.367843866|0.375843866|0.511412696,0.598231435|0.488934726|0.616742909,-0.0356687307|-0.125761181|-0.0347223654,0.003376757726073265
1,0.1,-0.9716725539915049,0.28479287028312683,0.6359325051307678,0.24519051611423492,0.2554984986782074,0.35,3,0,0,0,0.6593815684318542,6.126222610473633,97.20638275146484,0.6593811511993408,1.0,0.11089851989139854,0,0,0,0,0.11561910235296297,0.0,filtered,6.283692478941264e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.11089851989139854,0.649087828|0.664087828|0.373415989|0.11089852|0.11289852|0.150990564,0.769087828|0.784087828|0.493415989|0.23089852|0.23289852|0.270990564,0.769087828|0.784087828|0.493415989|0.23089852|0.23289852|0.270990564,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0928887377|0.0347863592|0.0347863592|-0.0259753191,-0.106649899|0|-0.119724226|-0.1208016|-0.1208016|-0.105770301,2.48970141|2.65635131|1.46682847|0.357578839|0.365578839|0.472216635,0.596448302|0.482646555|0.615006983,-0.0356687307|-0.125761181|-0.0347223654,0.002689526416361332
2,0.15000000000000002,-0.8662671854205576,0.22569027543067932,0.6275569200515747,0.24436981976032257,0.19585540890693665,0.35,3,0,0,0,0.7297645211219788,6.068002223968506,147.99034118652344,0.7259389162063599,1.0,0.10673008072767592,0,0,0,0,0.11561910235296297,0.0,filtered,0.031157742468952726,0,0,12,joint_5_acceleration_lower,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.10673008072767592,0.643765101|0.658765088|0.372068243|0.106730081|0.108730081|0.144562211,0.763765101|0.778765088|0.492068243|0.226730081|0.228730081|0.264562211,0.763765101|0.778765088|0.492068243|0.226730081|0.228730081|0.264562211,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0701323711|0.0963687424|0.0963687424|0.0509574854,-0.106268043|0|-0.119388474|-0.122378636|-0.122378636|-0.107481011,2.46879236|2.63506035|1.43901687|0.400910429|0.408910429|0.521725319,0.59466517|0.476358384|0.613271058,-0.0356687307|-0.125761181|-0.0347223654,0.0025437651202082634
3,0.2,-0.7853271474997408,0.2186373621225357,0.6166786551475525,0.24659810960292816,0.1890350878238678,0.35,3,0,0,0,0.8101781606674194,4.37427282333374,112.44979095458984,0.8101776838302612,1.0,0.1057126332415127,0,0,0,0,0.11561910235296297,0.0,filtered,7.703068420353845e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.1057126332415127,0.638461638|0.653461638|0.369629676|0.105712633|0.107712633|0.142100594,0.758461638|0.773461638|0.489629676|0.225712633|0.227712633|0.262100594,0.758461638|0.773461638|0.489629676|0.225712633|0.227712633|0.262100594,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0904252878|0.15905188|0.15905188|0.118230152,-0.10587943|0|-0.119279785|-0.12375988|-0.12375988|-0.109038665,2.44796712|2.61384655|1.44966421|0.458142533|0.466142533|0.577593865,0.592882037|0.470070213|0.611535132,-0.0356687307|-0.125761181|-0.0347223654,0.0030297543853521347
4,0.25,-0.7136128551415462,0.20887674391269684,0.6040924191474915,0.2526029050350189,0.18053753674030304,0.35,3,0,0,0,0.8804740905761719,3.785574436187744,78.38290405273438,0.8804740905761719,1.0,0.10775444920836325,0,0,0,0,0.11561910235296297,0.0,passthrough,4.634650625536142e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10775444920836325,0.633177778|0.648177778|0.368209317|0.107754449|0.109754449|0.142933401,0.753177778|0.768177778|0.488209317|0.227754449|0.229754449|0.262933401,0.753177778|0.768177778|0.488209317|0.227754449|0.229754449|0.262933401,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0859905379|0.238728815|0.238728815|0.221087765,-0.105483926|0|-0.119139472|-0.125074566|-0.125074566|-0.110743162,2.42722718|2.59271111|1.43968833|0.544672046|0.552672046|0.682078209,0.591098905|0.463782042|0.609799206,-0.0356687307|-0.125761181|-0.0347223654,0.0030911769717931747
5,0.30000000000000004,-0.6613353053483915,0.19588635861873627,0.5910739302635193,0.26098203659057617,0.169368714094162,0.35,3,0,0,0,0.9324821829795837,3.232591152191162,68.68124389648438,0.9324814677238464,1.0,0.11364671964749212,0,0,0,0,0.11561910235296297,0.0,filtered,1.0563080932509367e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11364671964749212,0.627913869|0.642913869|0.36658521|0.11364672|0.11564672|0.148729582,0.747913869|0.762913869|0.48658521|0.23364672|0.23564672|0.268729582,0.747913869|0.762913869|0.48658521|0.23364672|0.23564672|0.268729582,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0754949482|0.288432114|0.288432114|0.288169011,-0.105081393|0|-0.119062507|-0.125874926|-0.125874926|-0.112007382,2.40657408|2.57165548|1.42277328|0.617144066|0.625144066|0.771079957,0.589315772|0.457493871|0.608063281,-0.0356687307|-0.125761181|-0.0347223654,0.003182612359523773
6,0.35000000000000003,-0.6066747308515485,0.183761864900589,0.5775037407875061,0.26938340067863464,0.15892648696899414,0.35,3,0,0,0,0.9618663191795349,1.2455331087112427,64.73306274414062,0.9618655443191528,1.0,0.12196632485789272,0,0,0,0,0.11561910235296297,0.0,filtered,1.0954464391446064e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12196632485789272,0.622670267|0.637670257|0.364460528|0.121966325|0.123966325|0.157764876,0.742670267|0.757670257|0.484460528|0.241966325|0.243966325|0.277764876,0.742670267|0.757670257|0.484460528|0.241966325|0.243966325|0.277764876,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0880115699|0.289095374|0.289095374|0.283049898,-0.104671691|0|-0.119072853|-0.126304343|-0.126304343|-0.112900571,2.38600938|2.55068103|1.42678083|0.65065633|0.65865633|0.80120883,0.58753264|0.451205701|0.606327355,-0.0356687307|-0.125761181|-0.0347223654,0.0031841183081269264
7,0.4,-0.556960618248636,0.17263148725032806,0.5635578632354736,0.2776605188846588,0.14932939410209656,0.35,3,0,0,0,0.9722990989685059,1.2648972272872925,26.29200553894043,0.9722986221313477,1.0,0.13028892450226565,0,0,0,0,0.11561910235296297,0.0,filtered,7.72389587767553e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13028892450226565,0.617447334|0.632447326|0.362949529|0.130288925|0.132288925|0.166513524,0.737447334|0.752447326|0.482949529|0.250288925|0.252288925|0.286513524,0.737447334|0.752447326|0.482949529|0.250288925|0.252288925|0.286513524,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.098238629|0.287013563|0.287013563|0.276952081,-0.104254678|0|-0.119025777|-0.126867816|-0.126867816|-0.11399185,2.36553466|2.52978931|1.43101097|0.681301446|0.689301446|0.829014328,0.585749507|0.44491753|0.604591429,-0.0356687307|-0.125761181|-0.0347223654,0.0027265772223472595
8,0.45,-0.5178977016339195,0.16134564578533173,0.5497722625732422,0.2866418957710266,0.13963794708251953,0.35,3,0,0,0,0.9814954996109009,1.3920717239379883,36.375755310058594,0.9814954996109009,1.0,0.13847315930188198,0,0,0,0,0.11561910235296297,0.0,passthrough,5.593695097728297e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.13847315930188198,0.612245438|0.627245438|0.361939756|0.138473159|0.140473159|0.174914534,0.732245438|0.747245438|0.481939756|0.258473159|0.260473159|0.294914534,0.732245438|0.747245438|0.481939756|0.258473159|0.260473159|0.294914534,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0906807643|0.302306117|0.302306117|0.300175853,-0.103830209|0|-0.118915199|-0.127527848|-0.127527848|-0.115220616,2.34515154|2.50898175|1.41952459|0.728670906|0.736670906|0.884613375,0.583966374|0.438629359|0.602855504,-0.0356687307|-0.125761181|-0.0347223654,0.0028181159868836403
9,0.5,-0.4777609084711776,0.1499791294336319,0.5360476970672607,0.2963881492614746,0.1299102008342743,0.35,3,0,0,0,0.9921388626098633,1.138819932937622,15.289932250976562,0.9921388626098633,1.0,0.1473840396625894,0,0,0,0,0.11561910235296297,0.0,passthrough,5.0368709358003755e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1473840396625894,0.607064957|0.622064948|0.360569911|0.14738404|0.14938404|0.18439819,0.727064957|0.742064948|0.480569911|0.26738404|0.26938404|0.30439819,0.727064957|0.742064948|0.480569911|0.26738404|0.26938404|0.30439819,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0831256623|0.318706296|0.318706296|0.324620663,-0.103398137|0|-0.118852608|-0.12803066|-0.12803066|-0.116258496,2.32486169|2.48825979|1.4065527|0.780211795|0.788211795|0.945954927,0.582183242|0.432341188|0.601119578,-0.0356687307|-0.125761181|-0.0347223654,0.0037033837288618088
